,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Cluster
116,0.64,1.72,1.25,0.51,0.72,2.04,3.19,2.83,1.76,2.4,Cluster 1
117,0.61,1.32,0.78,0.54,1.12,1.74,3.18,2.78,1.79,2.94,Cluster 1
118,0.54,1.2,1.17,0.45,1.04,1.38,3.18,2.58,1.82,2.94,Cluster 1
119,1.06,1.6,1.1,0.43,0.86,1.84,3.18,2.7,0.96,3.18,Cluster 1
120,0.86,1.96,1.25,0.56,1.66,2.9,3.18,2.82,1.44,2.5,Cluster 2
121,0.77,1.04,0.26,0.66,1.42,2.0,3.18,2.82,1.6,2.64,Cluster 2
122,0.93,2.68,1.3,0.42,1.42,2.22,3.19,2.58,1.31,2.38,Cluster 2
123,1.98,0.48,0.75,0.69,0.88,2.62,3.18,2.86,1.54,2.38,Cluster 2
124,0.74,1.52,1.38,0.59,1.1,2.0,3.18,2.72,1.47,2.74,Cluster 1
125,0.64,1.36,0.19,0.46,0.78,1.58,3.18,2.79,1.31,2.82,Cluster 0
126,0.51,1.44,0.42,0.33,0.74,1.3,3.18,2.77,1.18,2.98,Cluster 0
127,1.06,1.68,1.02,0.66,0.72,2.02,3.18,2.81,1.41,2.56,Cluster 1
128,1.09,1.48,0.99,0.35,1.12,1.78,3.17,2.89,1.31,3.34,Cluster 1
129,0.54,1.2,0.45,0.39,0.88,1.66,3.18,2.7,1.57,2.78,Cluster 0
130,0.9,0.88,1.52,0.46,0.8,1.48,3.18,2.71,0.99,2.88,Cluster 1
131,0.83,1.68,1.14,0.51,1.66,2.78,3.18,2.85,1.7,2.54,Cluster 2
132,0.93,1.64,1.73,0.55,1.46,1.98,3.18,2.74,1.89,2.94,Cluster 1
133,0.38,1.28,1.54,0.62,1.7,2.16,3.18,3.02,1.31,2.5,Cluster 2
134,0.51,1.64,0.27,0.3,0.78,1.86,3.17,2.69,2.5,3.34,Cluster 0
135,0.8,0.96,0.73,0.61,1.1,2.82,3.18,2.99,2.14,2.54,Cluster 2
136,1.15,1.72,1.62,0.61,0.78,1.94,3.19,3.02,1.47,2.54,Cluster 1
137,0.51,1.16,1.66,0.53,1.58,1.9,3.18,2.85,1.28,2.88,Cluster 1
138,0.96,1.4,0.74,0.37,0.86,1.98,3.18,2.8,1.44,3.06,Cluster 1
139,1.09,1.32,0.74,0.39,0.5,1.06,3.18,3.01,1.86,3.2,Cluster 0
140,0.74,1.28,0.26,0.3,1.14,1.96,3.17,2.93,1.73,3.34,Cluster 0
141,0.8,1.12,0.19,0.46,0.82,1.48,3.18,2.82,1.7,2.96,Cluster 0
142,0.86,1.96,0.61,0.42,1.22,1.86,3.17,2.7,1.22,3.1,Cluster 2
143,0.61,1.04,0.34,0.45,0.22,1.9,3.18,2.71,2.37,2.62,Cluster 0
144,0.9,1.4,0.19,0.59,1.04,1.88,3.17,3.06,2.21,3.02,Cluster 0
145,0.96,2.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42,Cluster 2
146,1.09,0.6,0.19,0.61,1.62,2.44,3.18,2.74,1.38,2.46,Cluster 2
147,0.8,1.24,1.98,0.67,1.38,2.42,3.19,3.12,1.5,2.62,Cluster 2
148,0.86,1.28,1.01,0.55,1.26,2.12,3.18,2.86,1.92,2.94,Cluster 2
149,0.77,1.52,1.33,0.51,1.34,2.46,3.18,2.8,1.6,2.54,Cluster 2
150,1.18,1.12,1.01,0.39,1.2,2.02,3.18,2.93,1.47,3.1,Cluster 1
151,0.74,1.64,0.18,0.55,0.94,2.0,3.18,2.74,1.5,2.98,Cluster 0
152,0.64,1.6,0.21,0.54,0.62,1.22,3.18,2.85,1.44,2.66,Cluster 0
153,0.64,1.56,0.22,0.57,0.5,2.02,3.18,2.66,1.34,2.78,Cluster 0
154,1.09,1.44,0.22,0.37,0.34,1.94,3.18,2.73,1.66,2.62,Cluster 0
155,1.02,1.16,1.22,0.29,0.94,1.66,3.18,2.8,2.08,3.42,Cluster 1
156,0.9,1.64,0.32,0.5,1.34,2.02,3.18,3.06,1.57,2.86,Cluster 2
157,2.05,1.12,0.7,0.37,0.5,1.04,3.17,2.77,1.98,3.44,Cluster 0
158,1.18,2.04,1.89,0.5,1.66,2.18,3.19,2.83,1.41,2.34,Cluster 2
159,1.06,1.76,1.02,0.27,0.24,1.16,3.18,2.63,1.28,3.36,Cluster 0
160,0.58,1.12,1.57,0.45,0.78,1.5,3.18,2.77,1.44,2.9,Cluster 1
161,1.15,1.08,0.51,0.37,0.34,0.98,3.17,2.58,2.21,3.36,Cluster 0
162,0.9,1.84,0.51,0.66,1.04,1.78,3.18,2.79,1.86,2.54,Cluster 0
163,0.7,1.28,0.93,0.47,0.54,1.58,3.18,2.82,1.76,2.98,Cluster 1
164,0.8,1.16,1.09,0.23,0.82,1.5,3.18,2.78,0.93,2.88,Cluster 1
165,0.9,1.64,0.21,0.5,0.3,1.68,3.18,2.91,1.44,2.74,Cluster 0
166,0.7,0.8,2.56,0.5,1.1,1.5,3.19,2.86,1.47,2.38,Cluster 1
167,0.61,1.04,0.83,0.46,0.82,1.86,3.18,2.9,2.18,2.54,Cluster 1
168,0.67,2.04,2.82,0.51,0.9,1.66,3.2,2.85,1.5,2.34,Cluster 1
169,0.7,1.28,1.49,0.46,0.58,1.46,3.18,2.97,1.73,2.86,Cluster 1
170,0.93,1.16,0.26,0.51,1.42,2.4,3.18,2.97,2.18,2.8,Cluster 2
171,1.9,0.4,0.45,0.48,0.7,1.06,3.18,2.98,1.22,2.48,Cluster 0
172,0.74,1.96,0.14,0.65,0.4,0.98,3.18,2.73,1.22,2.78,Cluster 0
173,1.06,1.28,0.22,0.49,0.74,1.24,3.17,2.94,1.6,3.28,Cluster 0
174,0.96,1.08,0.8,0.66,0.72,2.02,3.18,2.86,1.57,3.26,Cluster 1
175,0.42,1.88,0.26,1.05,1.06,2.1,3.18,2.86,1.15,2.62,Cluster 2
176,1.02,1.16,0.78,0.41,1.1,2.0,3.18,3.01,1.38,3.26,Cluster 1
177,0.99,1.08,0.93,0.41,0.62,1.46,3.18,2.97,1.73,2.94,Cluster 0
178,0.7,0.96,0.22,0.47,0.46,2.12,3.18,2.89,1.7,2.98,Cluster 0
179,0.77,1.24,0.21,0.54,0.88,1.42,3.18,2.86,1.76,2.88,Cluster 0
180,0.58,1.44,0.19,0.53,0.24,0.94,3.18,3.29,2.18,2.9,Cluster 0
181,0.8,1.2,1.25,0.43,1.78,2.62,3.18,2.75,1.6,2.7,Cluster 2
182,1.28,1.48,1.42,0.61,0.96,1.98,3.18,2.81,1.6,2.48,Cluster 1
183,1.38,1.12,1.8,0.37,0.82,1.16,3.18,2.69,1.22,3.3,Cluster 1
184,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54,Cluster 2
185,0.96,1.2,0.36,0.43,0.22,2.8,3.18,2.85,1.98,2.64,Cluster 2
186,0.58,1.12,0.27,0.47,1.42,2.14,3.18,2.78,1.44,2.72,Cluster 2
187,1.41,1.32,0.19,0.56,0.32,1.56,3.18,3.07,1.41,3.06,Cluster 0
188,1.02,1.04,1.33,0.61,0.86,2.4,3.19,2.89,1.63,2.46,Cluster 2
189,0.93,0.6,0.18,0.33,0.32,1.1,3.17,2.94,1.28,3.04,Cluster 0
190,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32,Cluster 1
191,0.83,1.32,1.89,0.65,1.28,1.7,3.19,2.75,1.76,2.66,Cluster 1
192,1.7,0.64,0.43,0.41,0.9,1.7,3.16,2.85,1.7,3.52,Cluster 0
193,0.9,1.56,0.22,0.35,1.26,1.96,3.16,2.74,2.05,3.44,Cluster 2
194,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86,Cluster 0
195,0.8,1.0,0.22,0.34,0.94,1.4,3.17,2.94,1.41,2.96,Cluster 0
196,0.7,1.04,1.41,0.31,0.62,1.5,3.18,2.65,1.31,3.04,Cluster 1
197,1.28,0.68,2.06,0.38,1.58,2.48,3.19,2.74,1.57,2.5,Cluster 2
198,0.64,1.48,0.99,0.31,0.64,1.3,3.18,3.01,1.57,3.26,Cluster 0
199,1.25,2.16,0.22,1.79,0.9,1.76,3.18,2.77,1.7,2.4,Cluster 0
200,1.06,1.28,2.5,0.62,1.66,3.02,3.19,2.89,1.79,2.78,Cluster 2
201,1.12,1.56,0.38,0.55,0.66,2.1,3.18,2.85,1.73,2.96,Cluster 2
202,0.7,0.92,2.77,0.54,0.98,1.58,3.2,2.74,1.47,2.34,Cluster 1
203,1.06,1.12,0.22,0.39,0.7,1.46,3.18,2.91,1.82,2.82,Cluster 0
204,0.83,0.88,0.82,0.42,0.62,1.74,3.18,2.93,1.02,2.7,Cluster 1
205,0.99,2.08,0.27,0.33,0.14,0.82,3.18,2.73,1.38,2.78,Cluster 0
206,0.99,1.28,0.19,0.27,0.54,2.22,3.18,2.71,1.73,2.62,Cluster 0
207,0.8,0.84,0.24,0.5,0.56,1.44,3.18,2.94,1.89,2.94,Cluster 0
208,0.77,0.88,1.71,0.48,0.7,1.08,3.18,2.54,1.15,2.58,Cluster 1
209,1.06,1.12,0.98,0.21,1.1,1.38,3.17,2.88,1.02,3.26,Cluster 1
210,0.54,1.44,1.31,0.32,1.18,1.48,3.18,2.79,1.31,3.3,Cluster 1
211,0.93,1.36,1.94,0.34,0.9,2.36,3.19,2.78,1.5,2.82,Cluster 2
212,0.83,2.04,0.42,0.51,0.7,2.12,3.18,2.66,1.6,2.98,Cluster 2
213,0.51,1.32,0.24,0.38,0.42,1.3,3.18,2.79,1.34,2.58,Cluster 0
214,0.61,1.56,0.16,0.37,0.38,0.94,3.17,2.94,1.22,3.46,Cluster 0
215,0.7,1.28,1.66,0.49,1.68,2.68,3.19,2.77,1.7,2.54,Cluster 2
216,0.61,1.52,0.18,0.26,0.8,1.4,3.17,2.77,1.22,3.04,Cluster 0
217,0.9,1.2,0.5,0.45,0.64,1.54,3.18,2.71,1.38,2.3,Cluster 0
218,1.02,0.72,1.2,0.47,1.9,2.98,3.18,2.79,1.31,2.38,Cluster 2
219,0.9,0.88,2.05,0.45,1.36,2.0,3.18,2.87,1.38,2.86,Cluster 1
220,0.77,1.08,0.29,0.58,1.38,2.54,3.18,2.87,1.6,2.88,Cluster 2
221,1.25,1.12,1.47,0.41,0.26,1.22,3.18,2.73,1.12,3.22,Cluster 0
222,1.15,2.32,2.4,0.5,1.12,1.54,3.19,2.8,1.63,2.4,Cluster 1
223,0.93,1.32,0.14,0.47,0.54,1.56,3.17,2.86,1.6,3.04,Cluster 0
224,0.61,1.2,2.05,0.61,1.3,3.06,3.19,2.79,1.57,2.42,Cluster 2
225,1.02,1.96,0.27,0.35,1.18,1.46,3.17,2.73,1.47,3.34,Cluster 0
226,0.9,2.24,0.27,1.78,1.3,1.42,3.18,2.75,1.18,2.46,Cluster 0
227,0.67,1.2,1.39,0.41,1.26,1.7,3.18,2.82,1.25,2.82,Cluster 1
228,0.54,2.96,0.58,0.57,0.78,1.7,3.18,2.91,1.28,3.3,Cluster 0
229,0.61,1.04,1.98,0.55,1.34,1.96,3.19,2.94,1.15,2.38,Cluster 1
230,0.61,1.0,0.22,0.58,1.1,1.42,3.18,3.14,2.11,2.8,Cluster 0
231,0.58,1.44,2.1,0.64,1.92,2.18,3.2,3.04,1.12,2.42,Cluster 2
232,0.83,1.96,0.51,0.31,0.74,1.16,3.18,2.7,1.02,3.02,Cluster 0
233,0.48,1.96,0.24,0.35,0.46,1.62,3.18,2.7,1.28,2.74,Cluster 0
234,0.61,0.84,0.15,0.38,2.38,2.12,3.18,2.97,1.34,2.14,Cluster 2
235,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86,Cluster 0
236,1.41,1.08,1.34,0.65,1.6,2.14,3.18,2.81,1.15,3.14,Cluster 2
237,0.58,1.84,0.22,0.73,0.98,2.14,3.18,2.99,1.44,2.96,Cluster 2
238,0.96,0.88,1.02,0.64,1.18,2.24,3.18,2.78,1.12,2.7,Cluster 2
239,2.08,0.48,0.18,0.15,0.1,0.14,3.18,2.95,1.15,3.6,Cluster 0
240,0.7,0.92,2.77,0.54,0.98,1.58,3.2,2.74,1.47,2.34,Cluster 1
241,1.25,2.48,1.76,0.54,1.76,2.38,3.19,2.81,1.6,2.32,Cluster 2
242,0.74,1.6,1.2,0.56,0.32,1.02,3.19,2.72,2.69,2.58,Cluster 0
243,0.74,1.84,1.02,0.41,0.46,1.14,3.18,2.75,2.5,3.12,Cluster 0
244,0.83,1.56,0.22,0.23,0.32,0.88,3.17,2.89,2.4,3.02,Cluster 0
245,0.64,1.2,0.98,0.42,0.82,1.6,3.18,2.88,1.63,2.88,Cluster 1
246,1.33,0.52,0.22,0.46,0.3,0.86,3.18,2.93,1.66,2.8,Cluster 0
247,1.5,1.96,2.08,2.73,1.12,2.94,3.2,2.63,1.63,2.46,Cluster 2
248,0.96,0.64,0.67,0.33,0.98,1.34,3.17,2.94,1.15,3.14,Cluster 0
249,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86,Cluster 0
250,0.51,1.0,1.57,0.56,1.58,1.82,3.18,2.81,1.22,2.66,Cluster 1
251,0.67,1.16,0.26,0.39,0.78,1.58,3.18,2.94,1.6,2.94,Cluster 0
252,0.51,1.28,2.0,0.4,0.48,2.08,3.19,2.56,1.15,2.4,Cluster 1
253,0.58,1.2,2.05,0.71,0.5,2.28,3.19,2.66,1.66,2.4,Cluster 1
254,0.61,2.4,0.64,0.42,0.16,1.62,3.18,2.59,1.89,2.78,Cluster 0
255,1.09,1.76,0.67,0.54,1.36,1.92,3.17,2.67,2.43,3.28,Cluster 2
256,0.9,0.88,0.29,0.39,0.86,1.54,3.17,2.98,1.41,3.36,Cluster 0
257,0.93,1.96,0.22,1.62,1.38,1.98,3.18,2.74,1.57,2.4,Cluster 2
258,2.22,0.24,1.09,0.48,0.24,1.12,3.18,3.06,1.41,2.72,Cluster 0
259,0.61,1.32,1.62,0.72,1.68,1.78,3.18,2.54,1.31,2.42,Cluster 1
260,0.77,0.72,1.07,0.53,0.88,2.14,3.19,2.85,1.79,2.62,Cluster 1
261,0.96,1.44,1.09,0.63,1.18,3.12,3.19,3.1,2.05,2.72,Cluster 2
262,1.58,0.88,0.29,0.53,0.82,1.86,3.18,3.02,1.73,2.78,Cluster 0
263,0.61,1.72,1.74,0.51,1.42,2.06,3.19,3.13,2.46,2.78,Cluster 2
264,1.06,1.2,0.48,0.41,0.8,1.66,3.17,2.94,1.28,3.5,Cluster 0
265,1.22,1.36,1.33,0.59,1.18,2.24,3.19,2.77,1.66,2.46,Cluster 2
266,1.12,1.16,2.3,0.5,1.44,2.36,3.2,2.82,1.86,2.38,Cluster 2
267,1.09,1.96,1.17,0.59,0.8,1.94,3.19,2.82,1.95,2.72,Cluster 1
268,0.45,1.4,0.22,0.45,0.64,1.7,3.18,2.64,2.18,2.78,Cluster 0
269,0.77,1.52,1.28,0.48,1.5,2.5,3.18,2.86,1.47,2.46,Cluster 2
270,0.8,1.64,0.29,0.42,1.38,2.2,3.17,2.93,1.25,3.26,Cluster 2
271,0.58,1.28,1.15,0.54,0.46,1.46,3.18,3.04,1.41,2.78,Cluster 1
272,0.7,1.12,1.92,0.64,1.82,1.9,3.19,2.66,0.96,2.46,Cluster 1
273,0.77,1.6,2.86,0.56,1.34,2.46,3.2,2.97,1.34,2.56,Cluster 2
274,1.15,1.76,1.33,2.91,0.74,1.9,3.18,2.78,1.38,2.72,Cluster 1
275,0.93,1.0,0.22,0.38,0.8,1.52,3.16,2.74,1.38,3.52,Cluster 0
276,0.83,1.68,1.55,0.5,0.8,1.86,3.18,2.82,1.5,2.42,Cluster 1
277,0.83,1.24,0.38,0.49,1.54,2.38,3.18,3.04,2.18,2.82,Cluster 2
278,1.12,1.56,0.14,0.48,0.4,0.82,3.18,2.63,0.9,2.78,Cluster 0
279,0.99,0.36,0.22,0.46,1.5,1.94,3.18,2.83,1.47,2.66,Cluster 0
280,1.15,1.28,1.68,0.51,0.94,1.8,3.18,2.74,1.06,3.1,Cluster 1
281,0.51,1.2,1.07,0.49,1.14,2.04,3.18,3.22,1.47,2.82,Cluster 1
282,0.58,1.84,2.18,0.59,1.02,1.58,3.19,2.8,1.6,2.66,Cluster 1
